college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
school of development and social engineering  pokhara university,dhungepatan khudi pokhara pokhara lekhnath kaski,pokhara university,bachelor in development studies bdevs master in population gender and development mpgd master in development studies mdevs bachelor of english and communication studies becs bachelor of entrepreneurship development bed,constituent institution,061561699  061561696,coordinatorpuedunp,28,2,305
central ayurveda vidyapeeth,bijauri tulsipur dang,nepal sanskrit university,bachelor of ayurvedic medicine and surgery bams,constituent institution,,,25,2,162
school of engineering  pokhara university,pokhara pokhara lekhnath kaski,pokhara university,bachelor of civil engineering bachelor of electrical and electronics engineering bachelor of civil and rural engineering be bachelor of computer engineering be computer bachelor of software engineering msc in structural engineering msc in bioinformatics msc bioinformatics master of science in construction management msc in electrical engineering in power system msc in hydropower engineering msc in public health and disaster engineering msc ph,constituent institution,061561698  061561697,,28,2,729
tikapur multiple campus,tikapur kailali tikapur kailali,national examinations board,ten plus two 2 education 2 education ten plus two 2 humanities 2 humanities ten plus two 2 science 2 science ten plus two 2 management 2 mangement bsc agriculture bscag bachelor of business studies bbs bachelor of english education bed master of arts ma bachelor of business administration bba bachelor of arts bachelor of law ballb bachelor of arts ba master of education med,constituent institution,091560088  091561088,mailtmcedunp,24,2,942
graduate school of engineering  midwest university,birendranagar surkhet,midwest university,bachelor of civil engineering be civil bachelor of computer engineering be bachelor of hydropower engineering msc in structural engineering msc in construction management,constituent institution,083524433 015524149 9804552850,,23,2,171
graduate school of science and technology  midwest university,birendranagar surkhet,midwest university,bsc in botany bsc in statistics bsc zoology bachelor of arts in mathematics bsc maths bsc in computer science and information technology bsc csit master of science in physics msc physics,constituent institution,083521315 9848085540,,23,2,171
faculty of agriculture agriculture and forestry university,rampur bharatpur chitwan,agriculture and forestry university,msc agriculture msc ag bsc agriculture bsc ag,constituent institution,056591655 056591777,adminafuedunp,1,2,770
college of environment and forestry  purbanchal university,gothgaun sundarharaicha morang,purbanchal university,masters in environmental administration and management bsc in forestry,constituent institution,9852084222,infopucefgmailcom,29,2,385
himalaya eye hospital,pardi bazaar pokhara pokhara lekhnath kaski,pokhara university,master of optometry m optom bachelor of optometry b optom,constituent institution,061461168,hehntcnetnp,28,2,706
faculty of animal science veterinary science and fisheries agriculture and forestry university,rampur bharatpur chitwan,agriculture and forestry university,bachelors in veterinary sciences and animal husbandry bvscah bsc fisheries msc in animal science master of veterinary science mvsc msc in fisheries aquaculture,constituent institution,977 56 592131,adminafuedunp,1,2,770
faculty of forestry agriculture and forestry university,hetauda makawanpur hetauda makwanpur,agriculture and forestry university,bsc in forestry,constituent institution,977 57 524154 977 57 527354 977 57 523248,deanforestryafuedunp,1,2,405
center for biotechnology agriculture and forestry university,bharatpur chitwan bharatpur chitwan,agriculture and forestry university,msc in agriculture biotechnology msc in animal science biotechnology msc forestry msc in veterinary science biotechnology,constituent institution,,,1,2,130
central campus lumbini buddhist university,parsa chauraha lumbini lumbini sanskritik rupandehi,lumbini buddhist university,ma in applied buddhism ma in mahayana buddhism ma in theravada buddhism bachelor in travel and tourism management with honors in buddhism bttm ma in archaeology and buddhist archaeological sites ma in museology and buddhist collections,constituent institution,97771404071 071404077,,21,2,707
school of forestry and natural resource management  institute of forestry,kirtipur kathmandu,unknown,msc in wildlife management and biodiversity conservation msc mountain environment and development studies msc in forestry,constituent institution,014333927,,39,2,515
city campus butwal,butwal rupandehi,lumbini buddhist university,bachelor of arts bachelor of law ballb bachelor in travel and tourism management with honors in buddhism bttm ma in buddhist studies,constituent institution,071445537,,21,2,200
midwest university micd office,nayabato dhobighat lalitpur,midwest university,master in international cooperation and development micd,constituent institution,015544970,micdmwuedunp,23,2,669
school of development studies and applied sciences  lumbini buddhist university,lumbini devdaha rupandehi,lumbini buddhist university,master in environmental studies mes master in development studies mds master in agroforestry maf,constituent institution,97771577427,infolbuedunp,21,2,574
school of engineering  manmohan technical university,budhiganga4 biratnagar budhiganga morang,manmohan technical university,bachelor in electrical and electronics engineering beexe bachelor in civil engineering,constituent institution,,infomtuedunp,22,2,197
school of applied science and technology  manmohan technical university,biratnagar budhiganga morang,manmohan technical university,msc health policy and management,constituent institution,021691096,infomtuedunp,22,2,167
